A tree surgeon I worked for had a dilemma.,"The tree he wanted to remove was too close to houses, all around.",He tied a rope to the top of the tree.,Then he had one of his workers hold onto the pulley rope.
On the cul-de-sac there were two girls named Carla.,The first one was a 10 year old blonde with green eyes.,The second one was only 3 years old with long dark hair.,Everyone called the first girl Big Carla and the other Little Carla.
A man worked in a convenience store late on a tuesday night.,Suddenly a man rushed in with a gun and held up the store.,The clerk gave the man all his money.,A siren roared and the cops rushed in.
I decided to make homemade hot fudge and caramel.,I put the chocolate in a tub when it was done.,I put a container of cream in the crockpot.,"When I took it out, it was caramel."
Joan was supposed to work at her novel all night.,Instead she went out with friends and had a good time.,"When she went back home, she was too tired to work and went to sleep.","The next day, when she went back to her novel, she was very inspired."
Today Farrah is going to the library.,She gets to look at many books.,She picks out a book on animals to check out.,Farrah gets to read the book as much as wants for a week.
Amy worked at home as a customer service representative.,There was a caller who wanted a discount on her purchase.,Amy offered what she could but the lady wanted more.,Amy asked in the chat room for a supervisor to give more discounts.
Maxwell took the bus home from school every day.,He was tired of waiting for the bus to arrive.,Maxwell decided to try walking one day.,He discovered that it was faster to walk home.
Jill's dog had been with her parent's for a week.,It had been used to running outside.,"When Jill got home, she walked in the door to a mess.",Jill's dog had destroyed the couch.
Tom had started drinking more heavily.,He noticed he was consuming a lot of beer.,Tom started getting a gut and out of shape.,He decided to stop drinking so much beer.
Toni was getting some groceries.,"When she was about to check out, she was stopped.",Another woman told Toni she was there first.,Toni was very upset.
Sal was having a yard sale.,He was selling a lot of his daughter's old toys.,His daughter saw her favorite old doll in a box of things for sale.,Sal's daughter began to cry.
Bill loved home renovation projects.,He rented a drum sander from a home improvement store.,Bill sanded down his hardwood floors carefully.,The sander's dust bag slipped off the discharge.
Christopher Roney was a rapper from Philadelphia.,He went by the stage name Cool-C.,"In the late eighties, his music filled the airwaves.","In the early nineties, he robbed a bank and killed a cop."
Sam was always stressed at work.,It would often bleed out into his personal life.,He noticed it started straining his relationships.,Sam decided to quit and get a different job.
Sharon was with Tommy for two years.,They were in love together.,One day Sharon noticed Tommy wasn't picking up his phone.,Sharon went to Tommy's House.
Tommy was a well-liked kid.,He did well in school.,Tommy was the teacher's pet.,One day Tommy said a bad word in class.
Anna tried everything to cure her hiccups.,"Water, breath holding, peanut butter - everything!",But nothing worked.,She had to just wait them out.
Rene was bored one day.,All she had was a pen.,She started drawing on her hand.,She made a tattoo.
Dan heard a tune that he really enjoyed while driving.,The announcer never stated what it was or who the tune was by.,Dan asked several friends if they knew the tune.,Dan felt frustrated by not knowing who did the tune.
Sara needed a prescription.,She went up to the counter.,The pharmacist asked for her name and birthday.,She gave him the info.
My son didn't sleep very well.,He stayed up all night long.,He fell asleep just before his appointment.,I woke him up and took him anyway.
"Samantha wanted to buy a gift for her boyfriend, Doug.","She had a lot of money, but wasn't sure what to buy.",Samantha asked Doug's friend for advice.,Doug's friend told Samantha that Doug needed a new watch.
Martina loved to dance.,She participated in many dance competitions.,"One competition, she fell and broke her leg.",She was determined to participate in the next competition though.
Frank entered his apartment after finishing work.,He was greeted by a blast of heat to his face.,It wasn't long before the air conditioning was on full blast.,Frank decided he needed to keep the air conditioning on all night.
Dan was about to start a drive from Florida to Atlanta.,"Dan already had his route mapped out, and was ready to go.","After about four hours of driving, Dan decided to take a break.","However, Dan did not see any signs for a rest stop."
Bob just started college this year and is a Zoology major.,He purchased all his textbooks and pretty much ran out of money.,He then went to his first week of classes and felt overwhelmed.,Everything was about complicated science and medicine.
It was payday for Sara which meant that she could afford a new phone.,"When her shift ended, she rushed to the mall before it closed.","Eagerly, she went straight to the shelf and grabbed the latest model.","Unfortunately, she had to wait for the customer ahead of her."
Emily wanted to go to college and study music.,She worked hard to prepare an audition piece to sing.,"At her audition, she sang for the professors and took a music test.",The professors were impressed by her audition.
Jake got hired to be an extra in a movie.,He was excited about it.,He told everyone he knew.,He went to go see the movie opening night.
A baker began to close shop after a hard day of work.,"Suddenly, it began to rain very hard and the baker couldn't leave.",He turned the radio on and heard that there was a flash flood warning.,The baker had to wait for a few hours before he could leave.
I needed some new headphones.,I saw them at the store for nine dollars.,The cashier insisted that they were fifteen dollars.,I got the manager.
Lindsay was getting ready for her friend's wedding.,She changed into her outfit.,She realized there was a stain on the front of her dress.,Lindsay's mother had stain remover.
"Mary Jane was sick, and one day her friend brought her flowers.","She had never liked flowers much, but this gift made her love them.","After she got better, she decided to start her own flower patch.",Mary Jane grew all types of flowers and plants to give to her friends.
Manuel had just made a ham and cheese torta for lunch.,He packed it with ingredients to the brink and toasted it as well.,He set it to the side and went to get a soda to complete his meal.,When he got back the torta was gone and crumbs were left instead.
Rory began feeling sluggish after his thirtieth birthday.,It had been years since he'd played sports or worked out.,He got a new job across town.,"To save money, he usually walked instead of taking the bus."
"At school, Charles stood around talking to his girlfriend Naomi.",A bully nearby threw pebbles at Charles.,Naomi suggested they talk somewhere else.,Charles told him to stop and the bully said let's fight at 3 o'clock.
Sue entered a nacho eating contest.,Nachos are her favorite food so she thought she could do well.,Sue started off slow to pace herself.,She then upped the ante.
I wanted to save a little money at the store.,I knew the kids wanted doritos.,I saw a bag of doritos styled generic chips.,"They were only a dollar, so I bought them."
Cynthia was a customer support rep for a large company.,She could only submit tickets and empathize with the callers.,"One day, she noticed all her the tickets were automatically deleted.","Cynthia keeps answering the phone, as long as she's paid."
Marco and his friends were watching a movie.,Someone suggested that they make popcorn.,Marco put a bag in the microwave.,"Then, he went back to hang out with his friends."
John wanted some barbecue chicken.,He had some chicken but no barbecue.,So he went too the store to get barbecue.,John went home to cook the chicken.
My work made a mistake with my paycheck.,They shorted me by one day.,It happened at a bad time.,My rent is due.
Margaret made a costume for a Halloween party.,She worked very hard on it.,"When she got to the party, she saw someone had made a similar costume.",The two started to talk.
Owen was an aspiring author.,He had written several letters to his favorite local newspaper.,One morning he was reading said paper as he ate cereal.,Suddenly he noticed his own words right on the page.
Sarah makes the best chicken and broccoli casserole.,All her friends love it.,This time she tried something different.,"When she took it for potluck, no one ate it."
I sent flowers and a big cookie to my wife for V Day.,I sent cookies to my daughter.,I sent these items to work.,Their colleagues were impressed.
James was meeting a date at the coffee shop.,It was half an hour past their meeting time.,James thought for sure he had been stood up.,He suddenly got a phone call.
Frank is a teacher who is ready for it to be summer.,He has two more weeks until school is over and he's struggling.,He thinks of creative ways to make time go by faster.,He gives his students a daily project to work on.
Will had a recurring dream about being trapped in a cellar.,"After several times of dreaming this, Will thought he needed help.","Will talked with a psychologist, telling him about the dream.",Will was relieved to hear the doctor's response.
Lisa had never flown.,She was always afraid to fly because her uncle died on a plane.,One year her family was taking a trip to Germany.,"She was reluctant to take the trip, but her family made her feel safe."
"Neil flew into Chiang Mai, Thailand.",He booked a jungle tour.,They took him to ride elephants and see jungle tribes!,Then he shopped for jungle souvenirs.
Mindy didn't like her work at all.,"She was grumpy when she woke up, at work and back home at night.",She decided it was time to change her life.,She decided to move to a new city.
Tim was with his family on a trip.,They went to a gemstone mine.,After learning about the place they were allowed to mine.,Tim found several nice rocks.
Summer had just ended.,The leaves were changing colors.,Some fell onto the ground.,I raked them into a pile.
Tori refused to eat broccoli.,Her mother could not convince her to eat it.,"Finally, her mother offered her twenty-five cents to try it.",Tori finally gave in and ate the broccoli.
Jeff loved ice cream.,He ate it every night.,He got really fat.,Jeff couldn't get a girlfriend.
The delivery man delivered a small package.,I found out that it was my meal prep package.,I opened it and started to prepare one of the dishes.,The food was fresh and contained several ingredients.
I was playing music in my apartment.,The neighbors came and said there was too much noise.,"Slighted, I turned the music up louder.",They called the police.
James recently met a woman who he really liked.,They had their first date at the beach near his home.,After their first date they became inseparable.,He plans on proposing to her in the near future.
I sit on the bench in front of our building to read.,One day a woman came by and asked what I was reading.,I showed her the book.,She looked at and said goodbye in a friendly manner.
