'sentence1', 'sentence2', 'sentence3', 'sentence4', 'right ending', 'wrong ending'
Amy was at lunch with her friend Lynn.,May came over to deliver the bad news.,Amy's friend Kim was gossiping about Amy.,Kim didn't think Ben liked Amy.,,
Ken got a call from work one day.,He was supposed to be there.,Ken told them that wasn't his schedule.,He was informed that the schedule was changed last minute.,,
Ben stayed after school for an important event.,"Once the event was finished, everyone went home.",Ben had to wait on campus since his mom is picking him up.,She told him that she would be there soon.,,
The family gathered at a new restaurant.,It was Mexican and served great tacos.,They all sampled the different foods.,They agreed that the chicken tacos were their favorite.,,
Richard wanted to rent a cabin.,The only problem is the cabin was really far away.,Disregarding this problem he went ahead to schedule the trip.,Once he opened his cabin he soon grew disappointed.,,
Sandy had finally saved up enough.,She wanted to get an easy bake oven.,She went and got a hammer.,Sandy eyed up her piggy bank and smash!,,
Joe was driving his old car when it broke down on him.,Joe had enough and decided to buy a new car.,He went down to the dealership looking for a new car.,He went back and forth but finally decided on a Mustang.,,
Edward wanted to make a lasagna.,He made a list of the ingredients he would need.,Edward bought the ingredients at the grocery store.,"At home, Edward followed the recipe to make lasagna.",,
The cowboy came to town for the rodeo.,He was determined to win.,He drew his bull's name.,He got on his bull and hung on tight.,,
Mother decided to have George help her make brownies.,"George loved to cook, especially baking sweets.",His Mother had him carefully measure the ingredients into the bowl.,George helped his Mother mix the ingredients together.,,
Karen's sister was coming to town.,Karen was very excited.,She planned many fun activities.,"The day they went to the beach, it rained.",,
Mary was very self conscious.,She always was careful of the pictures she took of herself.,One day someone got a picture of there spilling a drink.,It ended up in social media.,,
Kim had a drinking problem.,Her friends and family got together to help.,They all talked to Kim and tried to be comforting.,Kim understood they were right.,,
Keith is on vacation in the woods with his family.,He rents a nice little log cabin next to the water.,One evening he hears a noise outside.,He heads out to investigate at sees a huge bear!,,
My family got together inside my cousin's house.,Everyone carried a dish with them.,The dishes were placed on the table.,"From chicken to potatoes, a lot of food was available.",,
Anne needed a wok to cook her meal.,She drove to the store.,Then she began looking at cooking pots and pans.,She selected a perfect wok.,,
The county fair was having a pie eating contest.,June felt her pies were superior to everyone else's.,She tried to bribe the judges to win the contest.,They refused the bribe as they wanted to play fair.,,
He pulled out a new board game.,He laid the pieces on the table.,He walked around the house looking for someone to play with.,Everyone said they were too busy.,So they played the game another day.,So he sold the game.
Hank was driving down the road one day.,"Suddenly, he felt a big thump from a minor car accident.",He looked over the window and saw that he hit a man's car.,The man got out and he was very angry at Hank.,They had to call the police to assess the damage.,Hank never drove again.
Dave has a pet bird.,He takes it everywhere with him.,Dave pet bird flew away one day.,Dave became very upset.,He never saw his bird again.,The bird was red.
Tyler went to the zoo with his dad.,He laughed when he saw all the animals doing silly things.,His dad helped him take pictures of animals on the phone.,He liked the pictures and was very pleased.,"The next day, he wanted to go to the zoo again.",Tyler does not like silly animals.
Some people floated across the ocean.,They landed on a beach.,They began to form an organization.,They ratified their government.,And they formed a new state.,And then threw the government in the ocean.
Bob opened the curtains.,There were birds in the yard.,They were eating his garden plants.,He ran outside yelling.,He chased the birds away and decided to erect a scarecrow.,And the birds yelled back at him.
Ed needed new fish for his tank.,He went to the pet store to look around.,He saw a tank full of mislabeled piranha!,They looked exotic but dangerous.,He feared that they would harm the other fish.,But they were not dangerous at all.
Brenda had lots of important papers.,She got a safety deposit box at the bank.,She stored them all there.,"After a few years, she went to retrieve them.",But she had lost the key.,The documents were green.
Mitchell looked at his watch.,It was close to midnight.,He knew he was going to miss curfew.,He ran home as fast as he could.,He got home late and his parents yelled at him.,"On the way, he crossed the road."
Jason had been practicing his moves.,Terry had also been practicing his moves.,The crowd cleared and the two stood in front of each other.,The music started and they began an epic dance battle.,The crowd was impressed and cheered them on.,But none of them could dance.
Larry showed up unannounced on his brother's doorstep.,His brother made it very clear he wasn't amused.,He fired the first shot high above Larry's head.,The next one was a little bit lower.,Larry was scared and ran away.,Larry’s brother owns a gun.
Tommy has been unemployed for two Year's.,He has been looking for work but hasn't yet found anything.,One day Tommy sees a babysitter job advertised in the newspaper.,He applies and is given the job.,He liked it and soon aplied for more babysitting jobs.,Being unemployed had made him hate babysitting.
Millie got up early because she had a lot of cleaning to do.,Millie vacuumed the floor.,"Then she dusted all the furniture, woodwork, and pictures.","Millie cleaned the bathrooms, which is never fun.","Finally, she also tidied up the garage.","Finally, she made the bathroom dirty again."
Chris knew that his family was getting cramped in their small house.,Chris went over the budget and looked around at other houses.,Chris was not able to find a bigger house that they could afford.,Chris decided just to do things to make the small house seem bigger.,He installed built-in cabinets for more storage room.,He photographed the house with a wide angle lens.
Nate submitted his application for the graduate program.,He received his results during the following week.,"Since he was furious, he went to speak with his dean.",She explained that the seats were simply full.,Nate had to settle for his second-favorite school.,Nate had to bring his own seat.
Tim slept through his alarm.,"When he woke up, he realized he was going to be late for class.",Tim rushed out the door without breakfast.,He barely made it to class on time.,He was very hungry during the whole class.,He would have preferred to be late.
Shane's landlord was trying to force him to move out.,Shane looked up the laws about evictions online.,He learned that this eviction was illegal.,He filed a report.,His landlord was stubborn and Shane had to go through a lengthy trial.,The report came back with grade A.
George was nervous about going to school.,He had never been away from his mom for a long time like that.,His mom tried to make him feel more comfortable but it didn't help.,When it was time to go to school George saw his teacher.,She looked friendly and he now had more confidence going to school.,She was doing push-ups in front of the school.
Cay and her dad were fishing one afternoon.,Cay caught a big sturgeon.,Her dad helped her clean it.,Then Cay's mom fried it up for dinner.,It tasted wonderfully.,The sturgeon enjoyed dinner with the family.
Greg rode his bike every day to work.,Most days Greg felt great about riding his bike.,He felt healthy and he felt very environmentally conscious.,"One day, Greg was almost hit by a car on his bike.",He decided to petition for dedicated bike lanes in his city.,He retaliated by hitting all the cars with his bike.
It was a really warm spring afternoon.,Jane was relaxing at the park.,She fell asleep on the bench she was sitting on.,She awoke to a bird on her head.,"When she moved, the bird flew away.",The bird now lived on her head.
Three friends lived together.,Every night they met in the kitchen.,They sat at the table and discussed their problems.,Cheesecake was the fortitude of these conversations.,They had decided to bake cheesecake once a week.,Nobody liked cheesecake.
Ben dropped some sugar in his kitchen.,He forgot to clean it up right away.,"The next day, he saw a nasty shock.",The kitchen floor was swarming with black ants!,He immediatly went out to buy poison.,He decided to throw an ant party.
Randy hated being late.,He would get really angry at slow drivers.,Last week he snapped at a big guy in a truck.,The guy got out with a baseball bat and smashed Randy's car.,That’s what we call road rage!,Randy loved it.
Tim liked spicy food.,He was eating with friends.,There was some hot sauce.,Tim figured he could eat a lot without it burning.,The sauce was much hotter than he thought and made him cry.,But his friends had burned all of it.
Jake was having a great time at dinner.,He was out with his girlfriend.,They finished up at the steakhouse.,Jake walked out to his parking spot.,But his car was gone!,He then walked back into the steakhouse.
Amber made breakfast for her kids.,They both wanted something different.,She decided to make what she wanted.,Neither of them liked it.,Her kids learned that it is better to agree with each other.,They never ate breakfast again.
Sarah is really trying to get into shape for her wedding.,She hasn't had much luck yet and she feels lost.,She is just running but she doesn't seem to loose any weight.,She read a book that told her to mix cardio and weightlifting.,She decided to lift twice a week and run twice a week.,She continued only running until her wedding.
I was at the beach with friends.,We were bored and didn't know what to do.,We began collecting seashells.,The seashells were really colorful and unique.,We decided to bring them home as decoration.,I don’t like unique seashells.
Corey gave a lot of thought to doing some volunteer work.,Corey wanted to give back to his community in a meaningful way.,"At a school presentation, Corey learned about Habitat For Humanity.",Corey signed up for a Habitat for Humanity project in his town.,It was a lot of work but he felt good doing it.,He then moved away from his town.
Fred had a stomach ache at school.,But he didn't want to miss out on anything important.,"But as the day went on, his stomach ache got worse.","In Fred's last class, he threw up.",He was sent to the doctor immediately.,The teacher then also threw up.
George loved to read.,He bought a new book to read at night.,He got so into the book that he read for hours.,"When George finished the book, he looked for a sequel.",The sequel still was not published.,George was never going to read another book series.
Jordan was watching TV on her couch.,It was raining outside and she noticed her cat scurrying inside.,The cat ran over to Jordan and hopped onto her lap.,"Jordan realized that the cat's paws were wet, but it was too late.",The cat had already left wet marks on the floor.,It should have been wet sooner.
William was allergic to cats.,He went to his friend's house where there were 3 cats.,Williams eyes became very itchy.,William's friend gave him some allergy medicine.,The medicine made it better.,The cats were allergic to the medicine.
Sam was a brilliant ballet dancer in a historic company.,"Edith, Sam's dance partner, was always extremely jealous of her.","On opening night, Edith could not stand that Sam was picked as lead.",Edith bought a gun which she brought to the theater.,She shot Sam and then herself during the performance.,She showed the everyone to impress them.
Rory has a test today.,He was not prepared for this test at all.,"Desperate, Rory wrote the answers on the sole of his shoe in pencil.",The teacher noticed the answers shining from the ceiling lights.,Rory failed the test and got suspended.,The shine hurt the teachers eyes.
Neil wanted to vacation in Asia.,He needed to stretch his dollar.,So he decided to fly to Thailand.,"There, he found great deals on lodging and food.",It was the best vacation of his life.,He could not afford the food.
It was Emma's first day of kindergarten.,She was excited to start school.,Emma was also nervous that she would not know what to do.,Emma's teacher was very nice and helped her feel more comfortable.,Emma really liked the first day.,Emma did not go to Kindergarten after all.
Randy is driving his kids in his van.,While driving it begins to rain.,Randy loses control of the Van.,The van goes flying in a ditch.,Randy died in the accident., Randy enjoyed the flight.
I had been alone in South Africa for a while and was lonely.,I was excited to learn that some friends were having a celebration.,It was for New Year's and the party was full of young people.,That night I met some friends that I really liked., One of them became my best friend.,They were all stupid.
Jane had problems remembering things.,"One day, she was drifting off to sleep.","Suddenly, a memory popped into her head.",She remembered something important from her childhood!,She immediately wrote it down.,"After that, she ate breakfast"
Bob studied hard in high school to get good grades.,Bob applied to a good college.,Bob got accepted to the college.,In college Bob studied hard to meet the requirements., He got a burnout., He didn't care about grades.
Sue had decided not to get a new pair of eyeglasses at her eye exam.,"Just before her next appointment, one earpiece broke.","The next week, the other one broke, too!",She was afraid the glasses would not last until the next appointment.,"Finally, she got new glasses.","She was sad, that she had broken her leg."
Roxy doesn't like cooking.,She goes out of her way to not cook a meal.,So she eats a lot of snacks instead of meals.,But sometimes she wants a hot meal., Then she just goes to a restaurant.,Roxy loves cooking.
Lisa was shopping at Target.,She found some fun dinosaur stickers.,She wanted to put them in her son's room.,She looked at the wall and chose a spot., It was next to a movie poster.,She threw the dinosaur stickers away.
The task seemed like an easy one.,It would only take a few moments and was simple to do.,The task had to be done with another worker connected online.,The connection was made quickly but the other worker never answered., The task could not be completed., The task was to build a house.
Charlie was afraid of trying to learn to ride a bike.,He was scared of falling and getting hurt.,His dad reassured him that he would be fine.,Eventually Charlie learned to ride a bike.,Then he joined a bike club.,"He was so scared, he couldn't ride the bike."
Bob bought a new hot tub.,He invited all of his friends over to try it.,Five people all got into the tiny hot tub.,They stayed in the hot tub all day.,Bob wished he had a larger hot tub., They had easily enough space.
George bought a new car.,He read the owner's manual.,He disagreed with the recommended tire pressure.,He contacted the manufacturer.,The manifuacturer was annoyed.,The manifacturer gave him a new bike.
Stan wears eye glasses.,He hates wearing glasses.,He took his glasses off and stepped on them.,Stan realizes that he can not see anymore.,He starts to miss his glasses.,He completely lost his mind.
Gina was afraid of her Grandma's big dogs.,The big dogs were barking and jumping at her.,Her grandma wouldn't let her come inside until she fed them.,She stood with her hand on the gate watching them jump.,She was so afraid that she started to cry.,Gina gave food to the elefants.
Beth was having a hard time writing her term paper.,She was trying to reach the word limit and coming up short.,She even filled half the report with fluff.,Beth eventually went online and found a relevant paper.,She had to change everyting.,The paper was not relevant.
A tree surgeon I worked for had a dilemma.,"The tree he wanted to remove was too close to houses, all around.",He tied a rope to the top of the tree.,Then he had one of his workers hold onto the pulley rope.,It was a risky enterprise.,It was a easy task.
On the cul-de-sac there were two girls named Carla.,The first one was a 10 year old blonde with green eyes.,The second one was only 3 years old with long dark hair.,Everyone called the first girl Big Carla and the other Little Carla.,Everyone liked the two Carlas.,Big Carla was the name of a restaurant.
A man worked in a convenience store late on a tuesday night.,Suddenly a man rushed in with a gun and held up the store.,The clerk gave the man all his money.,A siren roared and the cops rushed in.,They captured the thief.,They also stole some money.
I decided to make homemade hot fudge and caramel.,I put the chocolate in a tub when it was done.,I put a container of cream in the crockpot.,"When I took it out, it was caramel.",I was confused.,I loved caramel.
Joan was supposed to work at her novel all night.,Instead she went out with friends and had a good time.,"When she went back home, she was too tired to work and went to sleep.","The next day, when she went back to her novel, she was very inspired.",She wrote ten pages in one sitting.,She tore the pages apart.
Today Farrah is going to the library.,She gets to look at many books.,She picks out a book on animals to check out.,Farrah gets to read the book as much as wants for a week.,After a week she has to give back the book.,After a week she can keep the book.
Amy worked at home as a customer service representative.,There was a caller who wanted a discount on her purchase.,Amy offered what she could but the lady wanted more.,Amy asked in the chat room for a supervisor to give more discounts.,They were not able to give more discount.,The supervisor wanted to kill the customer.
Maxwell took the bus home from school every day.,He was tired of waiting for the bus to arrive.,Maxwell decided to try walking one day.,He discovered that it was faster to walk home.,He never took the bus again.,The bus was very fast.
Jill's dog had been with her parent's for a week.,It had been used to running outside.,"When Jill got home, she walked in the door to a mess.",Jill's dog had destroyed the couch.,Jill gave the dog to her parents.,Jill rewarded the dog.
Tom had started drinking more heavily.,He noticed he was consuming a lot of beer.,Tom started getting a gut and out of shape.,He decided to stop drinking so much beer.,Tom's wife was happy about it.,Tom's wife bought a lot of beer for him.
Toni was getting some groceries.,"When she was about to check out, she was stopped.",Another woman told Toni she was there first.,Toni was very upset.,He yelled at the woman.,He kissed the woman.
Sal was having a yard sale.,He was selling a lot of his daughter's old toys.,His daughter saw her favorite old doll in a box of things for sale.,Sal's daughter began to cry.,She rescued the doll.,She was glad to get rid of the doll.
Bill loved home renovation projects.,He rented a drum sander from a home improvement store.,Bill sanded down his hardwood floors carefully.,The sander's dust bag slipped off the discharge.,It then took a long time to clean.,Bill started to distribute the dust over the whole floor.
Christopher Roney was a rapper from Philadelphia.,He went by the stage name Cool-C.,"In the late eighties, his music filled the airwaves.","In the early nineties, he robbed a bank and killed a cop.",Now he is in prison.,The cop thanked him.
Sam was always stressed at work.,It would often bleed out into his personal life.,He noticed it started straining his relationships.,Sam decided to quit and get a different job.,This decision saved his relationships.,This decision ruined his relationships.
Sharon was with Tommy for two years.,They were in love together.,One day Sharon noticed Tommy wasn't picking up his phone.,Sharon went to Tommy's House.,She found that his phone was broken.,She thanked Tommy for not picking up the phone.
Tommy was a well-liked kid.,He did well in school.,Tommy was the teacher's pet.,One day Tommy said a bad word in class.,The teacher was shocked.,The teacher gave him a gift.
Anna tried everything to cure her hiccups.,"Water, breath holding, peanut butter - everything!",But nothing worked.,She had to just wait them out.,I was hard for her.,Anna never had hiccups.
Rene was bored one day.,All she had was a pen.,She started drawing on her hand.,She made a tattoo.,She regretted it afterwards.,The tatto was on her foot.
Dan heard a tune that he really enjoyed while driving.,The announcer never stated what it was or who the tune was by.,Dan asked several friends if they knew the tune.,Dan felt frustrated by not knowing who did the tune.,As soon as he was home he googled the song.,Dan liked the name of the artist.
Sara needed a prescription.,She went up to the counter.,The pharmacist asked for her name and birthday.,She gave him the info.,She bought what she needed.,She went home without buying anything.
My son didn't sleep very well.,He stayed up all night long.,He fell asleep just before his appointment.,I woke him up and took him anyway.,He fell asleep in the car.,He was very refreshed.
"Samantha wanted to buy a gift for her boyfriend, Doug.","She had a lot of money, but wasn't sure what to buy.",Samantha asked Doug's friend for advice.,Doug's friend told Samantha that Doug needed a new watch.,She bought him a Rolex.,She bought him a football.
Martina loved to dance.,She participated in many dance competitions.,"One competition, she fell and broke her leg.",She was determined to participate in the next competition though.,The doctor said this would not be possible.,She was happy to take a break.
Frank entered his apartment after finishing work.,He was greeted by a blast of heat to his face.,It wasn't long before the air conditioning was on full blast.,Frank decided he needed to keep the air conditioning on all night.,Frank got a cold.,It got very hot inside the room.
Dan was about to start a drive from Florida to Atlanta.,"Dan already had his route mapped out, and was ready to go.","After about four hours of driving, Dan decided to take a break.","However, Dan did not see any signs for a rest stop.",So he kept driving.,He was happy that there was a stop.
Bob just started college this year and is a Zoology major.,He purchased all his textbooks and pretty much ran out of money.,He then went to his first week of classes and felt overwhelmed.,Everything was about complicated science and medicine.,So he decided to leave college.,He had good grades.
It was payday for Sara which meant that she could afford a new phone.,"When her shift ended, she rushed to the mall before it closed.","Eagerly, she went straight to the shelf and grabbed the latest model.","Unfortunately, she had to wait for the customer ahead of her.","After half an hour, she got the phone.","After seven days, she got the phone."
Emily wanted to go to college and study music.,She worked hard to prepare an audition piece to sing.,"At her audition, she sang for the professors and took a music test.",The professors were impressed by her audition.,They praised her performance.,They were disapointed.
Jake got hired to be an extra in a movie.,He was excited about it.,He told everyone he knew.,He went to go see the movie opening night.,He felt proud.,No one knew about it.
A baker began to close shop after a hard day of work.,"Suddenly, it began to rain very hard and the baker couldn't leave.",He turned the radio on and heard that there was a flash flood warning.,The baker had to wait for a few hours before he could leave.,So he prepared some things for the next day.,He left his shop and drove to the ocean.
I needed some new headphones.,I saw them at the store for nine dollars.,The cashier insisted that they were fifteen dollars.,I got the manager.,He told me that the sign was wrong.,I had to pay hundred dollars.
Lindsay was getting ready for her friend's wedding.,She changed into her outfit.,She realized there was a stain on the front of her dress.,Lindsay's mother had stain remover.,"Unfortunately, the stain could not be removed.",The stain turned bright red.
"Mary Jane was sick, and one day her friend brought her flowers.","She had never liked flowers much, but this gift made her love them.","After she got better, she decided to start her own flower patch.",Mary Jane grew all types of flowers and plants to give to her friends.,It was a joy.,It was a pity.
Manuel had just made a ham and cheese torta for lunch.,He packed it with ingredients to the brink and toasted it as well.,He set it to the side and went to get a soda to complete his meal.,When he got back the torta was gone and crumbs were left instead.,He got mad because he was so hungry., He felt happy that the torta was gone.
Rory began feeling sluggish after his thirtieth birthday.,It had been years since he'd played sports or worked out.,He got a new job across town.,"To save money, he usually walked instead of taking the bus.",He lost some weight.,He gained some weight.
"At school, Charles stood around talking to his girlfriend Naomi.",A bully nearby threw pebbles at Charles.,Naomi suggested they talk somewhere else.,Charles told him to stop and the bully said let's fight at 3 o'clock., Charles did not want to fight so he denied., Charles did not want to fight so he agreed.
Sue entered a nacho eating contest.,Nachos are her favorite food so she thought she could do well.,Sue started off slow to pace herself.,She then upped the ante.,"Soon, she had eaten more than the other contestants.",She was still hungry after the contest.
I wanted to save a little money at the store.,I knew the kids wanted doritos.,I saw a bag of doritos styled generic chips.,"They were only a dollar, so I bought them.","Instead of giving them to the kids, I ate them myself.",I threw away the doritos.
Cynthia was a customer support rep for a large company.,She could only submit tickets and empathize with the callers.,"One day, she noticed all her the tickets were automatically deleted.","Cynthia keeps answering the phone, as long as she's paid.",Cynthia needed the money for her family.,Cynthia did not work for the money.
Marco and his friends were watching a movie.,Someone suggested that they make popcorn.,Marco put a bag in the microwave.,"Then, he went back to hang out with his friends.",The popcorn got burned.,The microwave was empty.
John wanted some barbecue chicken.,He had some chicken but no barbecue.,So he went too the store to get barbecue.,John went home to cook the chicken.,He grilled the chicken and it tasted great.,The chicken had eaten the barbecue.
My work made a mistake with my paycheck.,They shorted me by one day.,It happened at a bad time.,My rent is due.,Now I have to borrow money from a friend.,I will buy a house instead.
Margaret made a costume for a Halloween party.,She worked very hard on it.,"When she got to the party, she saw someone had made a similar costume.",The two started to talk.,They dicovered common interests and became close friends.,The other one had no costume.
Owen was an aspiring author.,He had written several letters to his favorite local newspaper.,One morning he was reading said paper as he ate cereal.,Suddenly he noticed his own words right on the page.,He was happy to see his letter printed.,He continued eating cereal.
Sarah makes the best chicken and broccoli casserole.,All her friends love it.,This time she tried something different.,"When she took it for potluck, no one ate it.",The next time she made chicken and broccoli casserole again.,Her friends hate potluck.
I sent flowers and a big cookie to my wife for V Day.,I sent cookies to my daughter.,I sent these items to work.,Their colleagues were impressed.,So they wanted to get to know me.,They did not like flowers.
James was meeting a date at the coffee shop.,It was half an hour past their meeting time.,James thought for sure he had been stood up.,He suddenly got a phone call.,His date was late because of traffic.,His mom called him.
Frank is a teacher who is ready for it to be summer.,He has two more weeks until school is over and he's struggling.,He thinks of creative ways to make time go by faster.,He gives his students a daily project to work on.,But the students still cannot wait for the holidays.,The students are already on summer vacation.
Will had a recurring dream about being trapped in a cellar.,"After several times of dreaming this, Will thought he needed help.","Will talked with a psychologist, telling him about the dream.",Will was relieved to hear the doctor's response.,He said that nightmares are normal and there is nothing wrong.,He said that Will would die.
Lisa had never flown.,She was always afraid to fly because her uncle died on a plane.,One year her family was taking a trip to Germany.,"She was reluctant to take the trip, but her family made her feel safe.",She learned that flying is actually very safe.,She did not go to Germany.
"Neil flew into Chiang Mai, Thailand.",He booked a jungle tour.,They took him to ride elephants and see jungle tribes!,Then he shopped for jungle souvenirs.,They expectedly were overpriced.,The elephants were enemies of the jungle tribes.
Mindy didn't like her work at all.,"She was grumpy when she woke up, at work and back home at night.",She decided it was time to change her life.,She decided to move to a new city.,She applied for a new Job on the other side of the country.,She did not want a new job..
Tim was with his family on a trip.,They went to a gemstone mine.,After learning about the place they were allowed to mine.,Tim found several nice rocks.,He took them home and still treasures the today.,Tim had wanted ugly rocks.
Summer had just ended.,The leaves were changing colors.,Some fell onto the ground.,I raked them into a pile.,"The next day, the neighbour’s dog destroyed the pile.",I then put the leaves back on the tree.
Tori refused to eat broccoli.,Her mother could not convince her to eat it.,"Finally, her mother offered her twenty-five cents to try it.",Tori finally gave in and ate the broccoli.,It actually was not that bad.,Broccoli is green.
Jeff loved ice cream.,He ate it every night.,He got really fat.,Jeff couldn't get a girlfriend.,He decided to get back in shape.,His girlfriend also liked ice cream.
The delivery man delivered a small package.,I found out that it was my meal prep package.,I opened it and started to prepare one of the dishes.,The food was fresh and contained several ingredients.,Sadly I have no cooking skills and it still tasted bad.,Then I went to McDonalds.
I was playing music in my apartment.,The neighbors came and said there was too much noise.,"Slighted, I turned the music up louder.",They called the police.,The police gave me a fine.,The police arrested them.
James recently met a woman who he really liked.,They had their first date at the beach near his home.,After their first date they became inseparable.,He plans on proposing to her in the near future.,He is therefore saving up for a ring.,He went on many other first dates after that.
I sit on the bench in front of our building to read.,One day a woman came by and asked what I was reading.,I showed her the book.,She looked at and said goodbye in a friendly manner.,I wonder why she asked.,She had a black purse with her.
